from,to,score
AT4G36930,AT4G35900,0.088815
AT2G46270,AT4G34000,0.088688
AT5G06960,AT1G61660,0.085827
AT5G38860,AT3G19860,0.081969
AT3G10800,AT5G08130,0.081675
AT4G34000,AT2G46270,0.081247
AT5G28770,AT3G06590,0.079848
AT4G35900,AT4G36930,0.078631
AT2G24260,AT4G01120,0.078362
AT1G68810,AT1G77920,0.078253
AT3G19860,AT5G38860,0.077156
AT1G63650,AT1G51140,0.076874
AT3G06590,AT5G28770,0.076534
AT3G23210,AT1G19490,0.076281
AT1G02340,AT5G39860,0.076253
AT1G61660,AT5G06960,0.07532
AT4G01120,AT2G24260,0.074781
AT1G10610,AT3G19860,0.074763
AT5G51780,AT5G51790,0.07448
AT2G21230,AT1G68920,0.073772
AT3G23210,AT5G61270,0.073553
AT2G18300,AT3G23210,0.07266
AT1G68920,AT2G31280,0.071475
AT3G19860,AT1G10610,0.070886
AT4G17880,AT3G23210,0.070409
AT3G17100,AT3G57800,0.069779
AT5G11260,AT1G19490,0.069361
AT3G26744,AT1G12860,0.068511
AT1G10610,AT5G24800,0.067976
AT3G10800,AT1G06070,0.067947
AT2G18300,AT1G19490,0.06698
AT5G54680,AT4G02640,0.066467
AT4G36540,AT2G18300,0.066025
AT3G47640,AT3G23210,0.066006
AT1G32640,AT1G35460,0.066
AT2G43060,AT1G02340,0.065096
AT1G02340,AT1G18400,0.064982
AT2G21230,AT3G56850,0.06487
AT4G17880,AT5G11260,0.064681
AT1G68920,AT4G38900,0.064242
AT3G10800,AT4G02640,0.063968
AT5G39860,AT2G42380,0.063909
AT5G49450,AT3G12250,0.063869
AT1G06850,AT5G44080,0.063816
AT4G36540,AT1G19490,0.063541
AT5G46760,AT1G68920,0.063519
AT1G43700,AT3G17100,0.063481
AT5G24800,AT1G22070,0.063198
AT2G31280,AT1G68920,0.063034
AT3G57800,AT4G36540,0.063018
AT2G18300,AT3G47640,0.063
AT4G36730,AT1G43700,0.062963
AT1G01260,AT1G09530,0.062857
AT3G54620,AT4G01120,0.06277
AT1G22070,AT1G49720,0.062682
AT2G46270,AT1G69010,0.06244
AT1G06070,AT3G10800,0.062356
AT4G17880,AT1G45249,0.062325
AT1G22070,AT2G41070,0.062158
AT1G06850,AT1G10610,0.062099
AT3G19290,AT5G54680,0.06206
AT1G77920,AT1G68810,0.061911
