"source","target","score"
"defense","cytoskeleton",5.35465705508519e-118
"lipid","cytoskeleton",2.87312469336311e-91
"light","cytoskeleton",4.7881171945702e-82
"defense","ethylene",5.50359031740253e-75
"kinase","cytoskeleton",2.67918844830548e-74
"defense","morphogenesis",5.87797378398038e-74
"water","cytoskeleton",9.78665492618411e-71
"abscisic acid","cytoskeleton",2.75535374310168e-68
"nitrogen","cytoskeleton",4.18800546075772e-64
"morphogenesis","cytoskeleton",4.64194160610306e-64
"lipid","ethylene",5.17728739350849e-51
"light","ethylene",2.76032968828735e-50
"kinase","ethylene",3.7965039801622e-48
"defense","vesicle",3.51936893545777e-44
"defense","chromatin",1.29518058273746e-43
"water","ethylene",2.59748841036463e-43
"lipid","morphogenesis",2.69117180516799e-43
"abscisic acid","morphogenesis",1.62058609357539e-40
"ubiquitin","cytoskeleton",3.7357934713698e-39
"salt stress","cytoskeleton",3.12092253800207e-38
"kinase","morphogenesis",5.46963261991228e-38
"water","morphogenesis",5.46963261991228e-38
"abscisic acid","ethylene",4.05088004015765e-37
"defense","nitrogen",7.91809727835321e-37
"translation","cytoskeleton",2.16513036586114e-36
"jasmonic acid","cytoskeleton",5.69563362940563e-36
"light","morphogenesis",3.98396871017956e-35
"lipid","vesicle",6.45465693150698e-35
"morphogenesis","morphogenesis",2.9737092787703e-34
"morphogenesis","ethylene",6.77704286348363e-34
"carbohydrate","cytoskeleton",1.11104650568636e-33
"nitrogen","ethylene",2.25220076060278e-33
"auxin","cytoskeleton",2.98453935672319e-33
"light","vesicle",4.95068501434889e-33
"light","chromatin",7.42017191846722e-32
"water","chromatin",8.49772993081329e-32
"defense","water",2.31676041879095e-31
"oxidative stress","cytoskeleton",7.10495992611182e-31
"abscisic acid","vesicle",7.4871083368268e-30
"cold","cytoskeleton",1.47708559833434e-29
"calcium","cytoskeleton",2.66784763090396e-28
"ubiquitin","ethylene",1.14384138936693e-27
"kinase","vesicle",2.58828849973194e-27
"cell growth","cytoskeleton",8.97420915410487e-26
"water","vesicle",1.62239356190526e-25
"lipid","nitrogen",2.22233845852596e-25
"ethylene","cytoskeleton",2.34041287121576e-25
"heat","cytoskeleton",1.87400369940335e-24
"nitrogen","morphogenesis",3.75611715722969e-24
"lipid","chromatin",5.00693543365483e-24
"translation","morphogenesis",5.46148559403614e-24
"salt stress","ethylene",7.78826730031152e-24
"defense","metal ion",1.06382615394836e-23
"kinase","chromatin",1.93320574182897e-23
"kinase","nitrogen",3.2843669943001e-23
"morphogenesis","vesicle",3.35320809166405e-23
"jasmonic acid","ethylene",8.71425154043519e-23
"vesicle","cytoskeleton",1.05611473256201e-22
"salt stress","morphogenesis",2.6074531652151e-22
"auxin","morphogenesis",3.70093247409489e-22
"jasmonic acid","morphogenesis",4.67665168615096e-22
"ubiquitin","morphogenesis",6.6732236384967e-22
"oxidative stress","ethylene",8.91620378716552e-22
"abscisic acid","chromatin",2.03195546064569e-21
"chromatin","cytoskeleton",4.01051170569368e-21
"nitrogen","vesicle",1.16129779278198e-20
"lipid","water",1.27920418629842e-20
"abscisic acid","nitrogen",2.52914352416729e-20
"salicylic acid","cytoskeleton",2.7993823285918e-20
"cell cycle","morphogenesis",5.97356472120674e-20
"light","nitrogen",1.14377533478783e-19
"nitrogen","chromatin",1.16588845069983e-19
"kinase","water",3.16982211991615e-19
"vesicle","morphogenesis",3.97579337418252e-19
"water","nitrogen",5.96175387958351e-19
"heat","morphogenesis",1.31696406152738e-18
"morphogenesis","chromatin",1.62823808089216e-18
"nitrogen","nitrogen",3.92110835085846e-18
"translation","ethylene",6.93526879382164e-18
"cold","morphogenesis",1.32498308733176e-17
"salicylic acid","ethylene",3.04456239128319e-17
"spliceosome","cytoskeleton",3.9852784637552e-17
"cold","ethylene",4.11690263253635e-17
"light","water",4.16855639372118e-17
"oxidative stress","morphogenesis",4.72365808427051e-17
"jasmonic acid","chromatin",8.75788402588654e-17
"salt stress","vesicle",1.2488589612479e-16
"water","water",1.68889232027462e-16
"phloem","cytoskeleton",1.80536243694485e-16
"abscisic acid","water",3.50297561598217e-16
"auxin","ethylene",4.74329706159109e-16
"cell cycle","cytoskeleton",8.10993517186197e-16
"cell growth","ethylene",8.55560582555309e-16
"jasmonic acid","vesicle",9.27945172946096e-16
"heat","ethylene",9.49574711045983e-16
"ubiquitin","vesicle",1.19432674316976e-15
"ubiquitin","chromatin",1.95158449206001e-15
"morphogenesis","nitrogen",2.42904390767406e-15
"ubiquitin","nitrogen",6.83899171252273e-15
"senescence","cytoskeleton",7.60219658579354e-15
"calcium","ethylene",8.94507416836131e-15
"morphogenesis","water",1.0200634538819e-14
"carbohydrate","ethylene",1.33565346484449e-14
"carbohydrate","morphogenesis",3.81931935924271e-14
"kinase","metal ion",8.73896666507531e-14
"translation","vesicle",1.52485425847017e-13
"salt stress","nitrogen",1.69018649973159e-13
"cell cycle","ethylene",1.95077041290692e-13
"cold","chromatin",2.92731061542763e-13
"lipid","metal ion",4.10443728671053e-13
"vesicle","ethylene",4.49253792811083e-13
"translation","chromatin",5.93891635831611e-13
"cell growth","morphogenesis",6.88839348849713e-13
"metal ion","cytoskeleton",2.47069431223226e-12
"ethylene","ethylene",2.75790527370915e-12
"nitrogen","metal ion",3.63752446412871e-12
"ribosome","morphogenesis",6.57122464250965e-12
"auxin","vesicle",7.59436276945026e-12
"pectin","cytoskeleton",7.74060883515573e-12
"cytoskeleton","cytoskeleton",8.17877347802507e-12
"chromatin","ethylene",1.01761336459538e-11
"light","metal ion",1.27049413994299e-11
"nitrogen","water",1.31992231334932e-11
"cell growth","vesicle",2.34450226897971e-11
"chromatin","morphogenesis",2.65558428848757e-11
"water","metal ion",3.02331128421117e-11
"carbohydrate","vesicle",3.23057932733937e-11
"senescence","ethylene",4.10240181145570e-11
"calcium","morphogenesis",5.32900232816896e-11
"oxidative stress","chromatin",6.41131902452518e-11
"ethylene","vesicle",6.57586913959892e-11
"photoperiodism","cytoskeleton",7.2833520318119e-11
"oxidative stress","nitrogen",7.87456020725426e-11
"salicylic acid","morphogenesis",9.38652745548901e-11
