"DownstreamTerm","UpstreamTerm","pValue"
"morphogenesis","morphogenesis",2.9737092787703e-34
"morphogenesis","anthocyanin",1
"morphogenesis","auxin",0.999999955295741
"morphogenesis","brassinosteroid",0.999741518718754
"morphogenesis","calcium",0.999999999998363
"morphogenesis","carbohydrate",0.857114331379282
"morphogenesis","spliceosome",0.783634734317291
"morphogenesis","cell growth",0.167296454337326
"morphogenesis","cell death",0.603191900665305
"morphogenesis","redox",1
"morphogenesis","abscisic acid",0.999999380353251
"morphogenesis","cold",0.999622842937283
"morphogenesis","heat",0.829901169714719
"morphogenesis","jasmonic acid",0.999996915472509
"morphogenesis","nitrogen",2.42904390767406e-15
"morphogenesis","salt stress",0.999438765729645
"morphogenesis","oxidative stress",0.837457950601981
"morphogenesis","salicylic acid",0.999999968055668
"morphogenesis","chlorophyll",0.999962808475979
"morphogenesis","chromatin",1.62823808089216e-18
"morphogenesis","kinase",0.100550454210132
"morphogenesis","cytoskeleton",4.64194160610306e-64
"morphogenesis","ribosome",0.987519533597654
"morphogenesis","defense",0.379015918543114
"morphogenesis","endoreduplication",1
"morphogenesis","DNA methylation",1
"morphogenesis","endocytosis",0.185331476318434
"morphogenesis","endomembrane",1
"morphogenesis","ethylene",6.77704286348363e-34
"morphogenesis","gibberellin",1.74420603319345e-06
"morphogenesis","leaf vascular",1
"morphogenesis","lipid",0.000262517194371563
"morphogenesis","lysosome",0.555904739504369
"morphogenesis","metal ion",9.65883053671125e-09
"morphogenesis","nucleosome",1
"morphogenesis","pectin",0.999612952086617
"morphogenesis","phloem",1
"morphogenesis","photoperiodism",0.000517196744558095
"morphogenesis","photosynthesis",1
"morphogenesis","phototropism",1
"morphogenesis","pigment",1
"morphogenesis","senescence",0.945083083694108
"morphogenesis","ubiquitin",0.999999999999999
"morphogenesis","secretion",1
"morphogenesis","light",0.000404512746320526
"morphogenesis","circadian",1
"morphogenesis","cell cycle",0.201265015129766
"morphogenesis","vesicle",3.35320809166405e-23
"morphogenesis","water",1.0200634538819e-14
"morphogenesis","sulfur",1
"morphogenesis","translation",1
"morphogenesis","trichome",0.000440599663952113
"anthocyanin","morphogenesis",0.138027770339902
"anthocyanin","anthocyanin",1
"anthocyanin","auxin",1
"anthocyanin","brassinosteroid",1
"anthocyanin","calcium",1
"anthocyanin","carbohydrate",0.590589155123489
"anthocyanin","spliceosome",1
"anthocyanin","cell growth",0.564269215624333
"anthocyanin","cell death",1
"anthocyanin","redox",1
"anthocyanin","abscisic acid",1
"anthocyanin","cold",0.645984922121358
"anthocyanin","heat",1
"anthocyanin","jasmonic acid",1
"anthocyanin","nitrogen",0.0116897992012384
"anthocyanin","salt stress",0.69388545075658
"anthocyanin","oxidative stress",1
"anthocyanin","salicylic acid",0.506444570491368
"anthocyanin","chlorophyll",1
"anthocyanin","chromatin",0.115849054373646
"anthocyanin","kinase",0.922272490190288
"anthocyanin","cytoskeleton",0.00329908635332279
"anthocyanin","ribosome",1
"anthocyanin","defense",0.741118602222374
"anthocyanin","endoreduplication",1
"anthocyanin","DNA methylation",1
"anthocyanin","endocytosis",0.170484150988426
"anthocyanin","endomembrane",1
"anthocyanin","ethylene",0.474715334939457
"anthocyanin","gibberellin",0.187534014020008
"anthocyanin","leaf vascular",1
"anthocyanin","lipid",0.516464080926151
"anthocyanin","lysosome",1
"anthocyanin","metal ion",1
"anthocyanin","nucleosome",1
"anthocyanin","pectin",1
"anthocyanin","phloem",1
"anthocyanin","photoperiodism",0.252300403241739
"anthocyanin","photosynthesis",1
"anthocyanin","phototropism",1
"anthocyanin","pigment",1
"anthocyanin","senescence",0.44094636804731
"anthocyanin","ubiquitin",1
"anthocyanin","secretion",1
"anthocyanin","light",0.130945559558469
"anthocyanin","circadian",1
"anthocyanin","cell cycle",0.536257277071449
"anthocyanin","vesicle",0.209823642008775
"anthocyanin","water",0.470086108969974
"anthocyanin","sulfur",1
"anthocyanin","translation",1
"anthocyanin","trichome",1
"auxin","morphogenesis",3.70093247409489e-22
"auxin","anthocyanin",1
"auxin","auxin",0.999996246916558
"auxin","brassinosteroid",0.995541830668044
"auxin","calcium",0.999999718769994
