"","aging","morphogenesis","anthocyanin","auxin","brassinosteroid","calcium","carbohydrate","spliceosome","cell growth","cell death","redox","abscisic acid","cold","heat","jasmonic acid","nitrogen","salt stress","oxidative stress","salicylic acid","chlorophyll","chromatin","kinase","cytoskeleton","ribosome","defense","endoreduplication","DNA methylation","endocytosis","endomembrane","ethylene","gibberellin","leaf vascular","lipid","lysosome","metal ion","nucleosome","pectin","phloem","photoperiodism","photosynthesis","phototropism","pigment","senescence","ubiquitin","secretion","light","circadian","cell cycle","vesicle","water","sulfur","translation","trichome"
"aging",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"morphogenesis",1,2.9737092787703e-34,1,0.999999955295741,0.999741518718754,0.999999999998363,0.857114331379282,0.783634734317291,0.167296454337326,0.603191900665305,1,0.999999380353251,0.999622842937283,0.829901169714719,0.999996915472509,2.42904390767406e-15,0.999438765729645,0.837457950601981,0.999999968055668,0.999962808475979,1.62823808089216e-18,0.100550454210132,4.64194160610306e-64,0.987519533597654,0.379015918543114,1,1,0.185331476318434,1,6.77704286348363e-34,1.74420603319345e-06,1,0.000262517194371563,0.555904739504369,9.65883053671125e-09,1,0.999612952086617,1,0.000517196744558095,1,1,1,0.945083083694108,0.999999999999999,1,0.000404512746320526,1,0.201265015129766,3.35320809166405e-23,1.0200634538819e-14,1,1,0.000440599663952113
"anthocyanin",1,0.138027770339902,1,1,1,1,0.590589155123489,1,0.564269215624333,1,1,1,0.645984922121358,1,1,0.0116897992012384,0.69388545075658,1,0.506444570491368,1,0.115849054373646,0.922272490190288,0.00329908635332279,1,0.741118602222374,1,1,0.170484150988426,1,0.474715334939457,0.187534014020008,1,0.516464080926151,1,1,1,1,1,0.252300403241739,1,1,1,0.44094636804731,1,1,0.130945559558469,1,0.536257277071449,0.209823642008775,0.470086108969974,1,1,1
"auxin",1,3.70093247409489e-22,1,0.999996246916558,0.995541830668044,0.999999718769994,0.753064448678916,0.968520675308924,0.549199822155293,0.357389914052378,1,0.999998043883949,0.998471278838589,0.997742882992432,0.999958330380888,6.6326154679046e-09,0.999939953110887,0.87158442608148,0.999999946392862,0.999479237850297,2.78864863584743e-08,0.355996091462151,2.98453935672319e-33,0.943857686893445,0.333257300131525,1,1,0.599501392969974,1,4.74329706159109e-16,0.00276341567833774,1,0.00826978423880437,0.205961002832136,0.00212014613657933,1,0.992680506569134,1,0.000314281107916859,1,1,1,0.981181881021333,0.999999999772876,1,0.00506125305628934,1,0.907893215682572,7.59436276945026e-12,5.3364353545709e-05,1,0.999999999999869,0.0644386628175346
"brassinosteroid",1,2.41549254246783e-07,1,0.872243727372499,0.827081811123884,1,0.687965486710317,0.899231658584172,0.626654632271193,1,1,0.999964656214449,0.998829275918282,0.354518677448003,1,0.000695713750359169,0.779181775981499,0.989795437020312,1,1,4.2207729564365e-05,0.591897659723627,1.83088896716717e-09,1,0.963936224034847,1,1,0.342763989486082,1,4.15583037466698e-09,0.390760935330949,1,0.188643137174087,0.417236128767769,0.000476505419558896,1,1,1,0.0129078813723954,1,1,1,0.977176146443883,0.9995450088642,1,0.558913929548467,1,0.38311317406736,0.00467964810245963,0.00101029161044811,1,1,0.555125134854299
"calcium",1,5.32900232816896e-11,1,0.98485453076659,1,0.99995369087772,0.813644313722092,0.638177433659949,0.737572659711517,0.686482799648442,1,0.999996763049176,0.877705942825496,0.999088550030003,0.999803754394796,2.94988075756684e-10,0.999936308311677,0.791510539052993,0.998733200267303,0.984777223886604,8.84278573769027e-06,0.0616770369415633,2.66784763090396e-28,0.463711312920381,0.662326105378915,1,1,0.167754680466014,1,8.94507416836131e-15,0.624067232827437,1,0.00945793592401302,0.368786239129284,8.48011191597708e-06,1,0.829492301166381,1,0.00673560408982122,1,1,1,0.414350132588247,0.99999979275095,1,0.128991837044681,1,0.749735009392968,2.16464689229691e-10,0.000362308252323358,1,1,0.575122123076302
"carbohydrate",1,3.81931935924271e-14,1,0.99859120328293,0.928739470750376,0.999985571669401,0.968490684044464,0.944302720152311,0.518267375201305,0.691175657376439,1,0.999929258410987,0.998772458382772,0.999767697914143,0.999170293047865,2.83542637895922e-05,0.99891726464061,0.603302700725547,0.999999745518005,1,1.54239316704991e-08,0.0624426981278765,1.11104650568636e-33,0.786820857908133,0.686563316498255,1,1,0.00837849678802292,1,1.33565346484449e-14,0.00631016347349372,1,0.0870301260527089,0.106474351095805,0.0010171963768813,1,0.997080818736015,1,0.00513664786896601,1,1,1,0.985209581872074,0.99999903546134,1,0.37056341231141,1,0.389953648509614,3.23057932733937e-11,6.26975348261885e-05,1,0.99999999695261,0.0198191334308194
"spliceosome",1,1.35084112234283e-05,1,0.769327044387487,0.899231658584172,0.99580021517725,0.488617069901742,0.57703847747259,0.559371769393499,0.958315592445131,1,0.987792816757702,0.873380219629746,0.885059322520218,0.991331870983021,0.000202050897919941,0.97191338361355,0.759473122269125,0.982683038383067,0.899231658584172,0.00499500805960536,0.419317603767361,3.9852784637552e-17,0.867318275629195,0.375508373432141,1,1,0.471433160510098,1,8.46382217760196e-08,0.260100979548807,1,0.247533757505051,0.506444570491368,0.0296970750714329,1,1,1,0.105028477032313,1,1,1,0.549422788265427,0.999957383219627,1,0.109856428943282,1,0.957965775016133,1.96795145435706e-07,0.00306055157097095,1,0.999877066281894,0.0914988549458439
"cell growth",1,6.88839348849713e-13,1,0.999318153298419,0.905235833243477,0.999752762604379,0.702308502628441,0.832535164207863,0.772630910323038,0.334803185214379,1,0.999592831176773,0.92167271856061,0.912492650883825,0.994862498791174,2.16828684560284e-07,0.993594744745989,0.860968259221909,0.999915638088081,0.995483531537542,2.45784886227934e-09,0.0339630171100812,8.97420915410487e-26,0.835340450846356,0.17328870375157,1,1,0.00519439496751993,1,8.55560582555309e-16,0.0262904875946642,1,0.00014978720521622,0.494690447202246,0.000163314059408966,1,0.999434121350905,1,0.0162307565624372,0.98429549291547,1,1,0.893077819473969,0.999999999948108,1,0.0810988033057742,1,0.14627982199443,2.34450226897971e-11,4.14056088798322e-05,1,1,0.0139678516983338
"cell death",1,8.06181087468919e-10,1,0.999674007613453,1,0.99695625810188,0.18781068611785,0.392472861788116,0.220895689920291,0.653358167773216,1,0.997127970362246,0.99528483643226,0.301510306963109,0.983199438101143,1.86162179338336e-08,0.993631705446687,0.950177102832028,0.99826280181491,1,0.00106928673455896,0.364625023306565,3.02801464405002e-09,0.976208084622182,0.64059729713642,1,1,0.501214679960176,1,1.39704221753522e-10,0.0416132317841236,1,0.00757786176600681,0.526525362073478,0.000221965141542225,1,0.965422581751139,1,0.0502753144621297,1,1,1,0.994667102592045,0.999725187265955,1,0.000928704930932088,1,0.968433354738789,0.00243165910938231,0.000235422234439851,1,0.999927618565365,0.308826741447109
