"regulatoryGene","targetGene","weight"
"AT2G40950","AT4G27657",0.420336722846698
"AT2G21230","AT1G31320",0.414773768305123
"AT2G46510","AT3G48260",0.332643525831362
"AT4G02640","AT4G27657",0.32492759827084
"AT3G06590","AT4G28720",0.316524348099489
"AT3G24140","AT5G08130",0.296712082421945
"AT3G24140","AT3G58640",0.28780510960355
"AT2G47270","AT4G28720",0.280975436893504
"AT3G56850","AT3G53450",0.278774317019456
"AT5G08130","AT3G24140",0.272631805458131
"AT1G61660","AT4G28703",0.257068728442609
"AT5G44080","AT4G28720",0.244027697776608
"AT5G46690","AT5G59590",0.237156782666944
"AT2G46810","AT3G58980",0.227230047696871
"AT2G22850","AT5G05250",0.226135751042668
"AT4G16430","AT4G28703",0.225801484306665
"AT3G23690","AT3G47540",0.225229502373434
"AT3G24140","AT2G39810",0.224140982795454
"AT3G17100","AT3G59220",0.223595182658779
"AT3G19290","AT3G21870",0.222851094179154
"AT5G48560","AT1G32690",0.222630974193661
"AT3G06590","AT3G47540",0.222344855389356
"AT3G62090","AT2G23590",0.218449539822385
"AT2G31370","AT5G56100",0.217665195829144
"AT2G46510","AT3G51960",0.211955519483419
"AT5G48560","AT2G22770",0.211934609292019
"AT2G42280","AT1G33750",0.210779342520204
"AT1G35460","AT2G22770",0.210441511062676
"AT4G02640","AT1G79410",0.208641006231309
"AT4G35040","AT3G50850",0.207162926996178
"AT4G30180","AT3G18950",0.206186294701277
"AT5G53210","AT4G02360",0.202548122127385
"AT1G43700","AT1G31320",0.200535150541388
"AT4G14410","AT2G26040",0.199073860680106
"AT5G06960","AT3G50850",0.198562874246003
"AT3G24140","AT5G60890",0.192470460337256
"AT5G28770","AT1G32690",0.189818149691457
"AT5G08130","AT1G32690",0.18681137517214
"AT2G41070","AT5G56100",0.186055709184616
"AT3G61950","AT3G51750",0.180423603090131
"AT3G06590","AT2G22770",0.177472845428348
"AT1G51070","AT4G35783",0.177219908232988
"AT5G08130","AT3G21870",0.175678304079628
"AT5G51790","AT5G16340",0.174512659395443
"AT1G32640","AT3G51960",0.174029501348506
"AT1G51140","AT5G51780",0.170219575414846
"AT3G26744","AT4G28703",0.170015126104441
"AT1G45249","AT5G51780",0.16817613637774
"AT4G35040","AT2G04100",0.166029841905026
"AT5G06950","AT4G35783",0.165231428554572
"AT4G16430","AT3G53450",0.16413950652824
"AT5G11260","AT3G53450",0.163178629106711
"AT3G57800","AT2G35930",0.16163578341803
"AT3G24140","AT4G05010",0.160909785345222
"AT4G16430","AT2G01430",0.159706349221583
"AT3G24140","AT5G58440",0.154823204256476
"AT3G24140","AT1G10610",0.154615350091161
"AT3G17100","AT3G48260",0.154314551324588
"AT2G27230","AT4G35783",0.152819705873419
"AT4G16430","AT3G45730",0.151813665883836
"AT3G24140","AT4G16660",0.149071588837217
"AT4G38900","AT5G60890",0.145431575416295
"AT5G38860","AT5G59080",0.143518464392107
"AT2G43010","AT4G35783",0.142940344137511
"AT4G14410","AT5G05250",0.142711119649017
