TF	Target	OddsRatio
AT1G49720	AT5G24800	0.99745774953055
AT1G49720	AT1G68810	0.534664883066562
AT1G49720	AT3G20640	0
AT1G49720	AT1G29950	0.98140852857834
AT1G49720	AT1G72210	0
AT1G49720	AT3G62700	0.518820989392659
AT1G49720	AT5G67370	0
AT1G49720	AT5G11420	0.659812507233517
AT1G49720	AT5G18670	0.909293783997396
AT1G49720	AT4G30620	0.875634325532076
AT1G49720	AT5G49730	0.927079132048076
AT1G49720	AT1G17220	0.849357695683396
AT1G49720	AT3G63490	0.957809798270893
AT1G49720	AT1G33170	0.714452457376297
AT1G49720	AT5G49100	0.974364765669113
AT1G49720	AT5G49740	0.309331611236681
AT5G54680	AT4G04870	0.804421021812326
AT5G54680	AT2G45290	0.858915149868695
AT5G54680	AT3G54826	0.821678734245106
AT5G54680	AT5G24970	0.698304869532093
AT5G48560	AT2G47390	0.696123193300013
AT5G48560	AT3G05210	0.284468232728714
AT5G48560	AT1G17230	0.555747291726584
AT5G48560	AT1G59620	0.555747291726584
AT5G48560	AT5G58350	0.892517438173748
AT5G48560	AT1G76660	0.5308939323761
AT5G48560	AT1G74440	0.565107212475634
AT2G22850	AT4G25390	0
AT2G22850	AT3G53800	0.975585284280936
AT2G22850	AT1G69450	0
AT2G22850	AT1G13250	0.71202841744243
AT3G23210	AT5G06960	0.959848609511272
AT3G23210	AT4G30980	0
AT3G23210	AT1G10522	0.922997044492372
AT3G23210	AT4G32520	0.81727003534244
AT3G23210	AT1G08460	0.77685840117443
AT3G23210	AT3G15357	0
AT3G23210	AT5G59840	0.313258611262985
AT3G23210	AT1G22710	0.68633076325384
AT3G23210	AT1G50575	0
AT3G23210	AT1G69960	0.539532501396908
AT3G23210	AT3G09150	0
AT3G59060	AT4G00480	0.91121533112315
AT3G59060	AT2G30150	0.608490247688466
AT3G59060	AT3G57050	0.853751943275319
AT5G24800	AT1G49720	0.99745774953055
AT5G24800	AT3G12250	0
AT5G24800	AT3G47160	0.890697674418605
AT5G24800	AT5G67370	0.443548387096774
AT5G24800	AT4G14540	0.848324514991182
AT5G24800	AT1G74450	0.439844612865141
AT5G24800	AT5G27920	0.78526688453159
AT5G24800	AT1G71710	0.561443626963611
AT5G67110	AT5G63180	0
AT5G67110	AT2G43945	0.921025396067192
AT5G67110	AT4G27410	0.584828629032258
AT1G42990	AT1G54110	0
AT1G42990	AT3G27210	0.89263762089849
AT1G42990	AT3G58180	0.629526921281678
AT1G42990	AT5G52210	0.887687640973789
AT5G61270	AT2G20340	0
AT1G22070	AT1G76065	0
AT1G22070	AT5G52570	0
AT1G22070	AT2G47180	0.652694271128758
AT1G22070	AT4G18520	0
AT1G22070	AT4G34540	0
AT1G22070	AT5G10870	0.881147540983607
AT1G68920	AT5G08080	0.545817649265925
AT1G68920	AT2G17870	0.649218768030649
AT1G68920	AT5G61930	0
AT1G68920	AT4G01026	0.894696089818041
AT1G68920	AT3G26750	0
AT1G68920	AT5G07320	0.400173370319001
AT4G36930	AT2G27230	0.739276703111859
AT4G36930	AT5G15450	0.967986377181779
AT4G36930	AT1G23480	0
AT4G36930	AT5G16010	0
AT4G36930	AT5G02860	0
AT4G36930	AT3G04860	0
AT4G36930	AT3G45600	0.975568942436412
AT4G36930	AT2G39170	0
AT4G36930	AT1G11220	0
AT4G36730	AT1G03040	0.994695341188186
AT4G36730	AT5G42810	0.942521579646986
AT4G36730	AT3G54000	0.478258990318119
AT4G36730	AT3G02140	0.801795977011494
AT4G36730	AT5G27920	0.576976708154728
AT5G46760	AT1G31420	0.97236700933655
AT5G46760	AT1G70070	0.67965367965368
AT5G46760	AT3G51830	0.745928290180169
AT5G06960	AT3G23210	0.959848609511272
AT5G06960	AT3G53370	0
AT5G06960	AT5G63980	0.884101941747573
AT5G06960	AT1G16570	0
AT5G06960	AT5G01310	0.99386816555953
AT5G06960	AT1G67880	0
AT1G19490	AT1G10370	0.630176547515257
AT1G19490	AT1G78150	0.853257575757576
AT1G43700	AT5G11260	0
