TF	Target	OddsRatio
AT5G48560	AT4G36032	4.12284137439915
AT5G48560	AT1G71710	2.74780383205368
AT3G23210	AT1G30510	2.98770911573916
AT3G23210	AT4G29430	4.95737009544009
AT3G23210	AT4G33890	2.80797101449275
AT3G23210	AT3G20340	6.22510593220339
AT3G23210	AT1G76060	2.77706552706553
AT3G23210	AT1G33290	2.90576441102757
AT3G23210	AT5G51020	2.77750965250965
AT3G23210	AT5G16760	3.01164021164021
AT3G23210	AT4G00850	6.07501622323167
AT3G23210	AT5G52980	2.87290640394089
AT3G59060	AT5G02820	2.87711148648649
AT5G24800	AT3G20640	4.20609579100145
AT5G67110	AT2G34560	2.72119520108655
AT5G61270	AT5G61270	Inf
AT5G61270	AT5G62990	5.03846153846154
AT1G68920	AT3G26618	3.10667954289393
AT4G36930	AT3G24503	3.30340909090909
AT4G36930	AT5G66800	3.32331253545094
AT4G36930	AT4G25570	3.15760869565217
AT4G36730	AT3G12250	3.18871587462083
AT5G46760	AT5G02200	2.75251784492031
AT5G06960	AT3G15357	4.22761596548004
AT1G43700	AT3G50060	3.13828425096031
AT1G43700	AT2G18193	3.94074074074074
AT1G43700	AT5G65280	2.99163891971883
AT3G19860	AT4G11330	2.73245769731393
AT5G38860	AT3G03590	3.84613696224759
AT2G46810	AT3G60900	2.8984718984719
AT5G28770	AT4G01410	4.25514011853369
AT5G28770	AT3G61630	2.97901918976546
AT2G47270	AT2G47270	Inf
AT2G47270	AT5G66080	3.67042606516291
AT2G47270	AT4G37800	5.54305143185519
AT2G47270	AT3G60910	4.04611650485437
AT2G47270	AT3G01970	3.73888474250986
AT2G47270	AT3G19800	3.0987610619469
AT1G10610	AT3G58640	5.33595878905521
AT5G50915	AT4G00480	3.18821073449431
AT2G24260	AT3G04860	8.43537414965986
AT2G24260	AT4G25570	3.93648648648649
AT2G24260	AT4G14040	3.3143661971831
AT2G41070	AT2G42280	3.96351351351351
AT2G41070	AT5G63640	3.76609227348527
AT2G41070	AT3G15940	2.91635711540925
AT2G41070	AT3G26750	6.12395833333333
AT2G41070	AT4G12700	2.93109229608517
AT4G38900	AT1G62590	3.41881100266193
AT2G31280	AT2G46700	2.76139775047032
AT5G39860	AT5G39860	Inf
AT1G63650	AT3G02380	2.90074626865672
AT1G63650	AT5G42650	5.66870629370629
AT1G61660	AT1G71960	2.78874617737003
AT1G02340	AT3G17580	2.73986013986014
AT4G01120	AT1G16190	3.09491978609626
AT3G47640	AT3G47640	Inf
AT3G47640	AT1G19660	4.85003604902668
AT3G47640	AT5G14640	3.45238095238095
AT3G47640	AT1G19970	5.28575725673034
AT3G47640	AT1G63720	5.67147667147667
AT3G47640	AT5G58650	4.67662285941856
AT3G47640	AT1G71880	3.16706619952056
AT3G54620	AT1G56170	2.80842157104162
AT3G54620	AT5G42960	2.83198011599006
AT2G31730	AT2G31730	Inf
AT2G31730	AT3G10220	2.7516571969697
AT2G31730	AT1G19970	5.03669724770642
AT2G31730	AT2G22170	7.75462962962963
AT2G31730	AT3G04860	3.07288401253918
AT2G31730	AT4G16500	2.78680388886629
AT2G31730	AT5G66800	4.19856887298748
AT2G31730	AT5G45340	2.94572452636969
AT2G31730	AT5G03080	5.97605298913043
AT2G31730	AT3G56370	3.03836214129888
AT2G31730	AT4G25570	2.94831081081081
AT2G31730	AT4G17500	5.41230486685032
AT1G73830	AT4G14300	3.61663033322952
AT1G73830	AT4G33540	3.03470603470603
AT1G73830	AT1G54100	3.02150537634409
AT1G73830	AT3G23050	3.79763148728666
AT1G73830	AT3G60910	8.61172161172161
AT1G73830	AT1G51400	2.73895378364652
AT1G73830	AT4G14040	6.14971309337507
AT5G49450	AT5G49450	Inf
AT5G49450	AT3G61060	4.50872205711332
AT5G49450	AT3G01970	3.77259036144578
AT3G24140	AT3G49260	6.03330866025167
AT5G11260	AT4G19710	3.23145071982281
AT2G20180	AT2G34450	3.50515151515152
AT3G62090	AT3G03790	2.98780241256149
AT3G62090	AT4G29540	23.403162055336
AT3G62090	AT5G02860	4.23484848484848
AT3G62090	AT5G67460	7.44507575757576
AT3G26744	AT3G26744	Inf
AT3G26744	AT4G32295	4.09357417826473
AT1G05805	AT3G03550	2.83922755535086
AT5G10030	AT5G10030	Inf
AT5G10030	AT3G15420	16.5960729312763
AT5G10030	AT5G01850	6.67741935483871
AT5G10030	AT2G42950	28.4194065757819
AT1G35460	AT1G10370	3.86939938807159
AT1G35460	AT2G46910	4.40305401074559
AT1G08320	AT1G08320	Inf
AT1G08320	AT1G71880	2.9144385026738
AT2G40620	AT1G78895	4.60267505900865
AT2G40620	AT2G22240	2.80792569659443
AT2G40620	AT1G07080	2.8328431372549
AT2G40620	AT3G29575	2.92229389236041
AT2G40620	AT5G57785	5.61022487026715
AT2G40620	AT2G20724	5.7629132231405
AT2G40620	AT3G02480	2.81205760312424
AT4G37730	AT3G13910	3.66722341525491
AT4G37730	AT2G01150	3.40525438682482
AT4G37730	AT1G69870	2.80797199030434
AT4G30980	AT2G43060	6.05025641025641
AT4G30980	AT3G53370	3.61935683364255
AT4G30980	AT4G29430	2.76517647058824
AT4G30980	AT5G63980	5.80902777777778
AT4G30980	AT1G56170	3.41020408163265
AT4G30980	AT3G13720	2.86707317073171
AT4G30980	AT5G01310	4.23478417915839
AT2G43060	AT4G30980	6.05025641025641
AT2G43060	AT2G43060	Inf
